seccion,operacion,categoria,provincia,zona_normalizada_completa,indicador,valor,cantidad_anuncios,precio_promedio_usd,precio_mediano_usd,precio_promedio_usd_sin_outliers,precio_mediano_usd_sin_outliers,m2_promedio,precio_promedio_m2,cantidad_outliers,porcentaje_outliers,limite_inferior_iqr,limite_superior_iqr,observacion
resumen_por_zona_normalizada_completa,,,,San Jose | Santa Ana | Río Oro,,,380,328482.69,176500,197953.41,140000,374.09,6064.55,37,9.74,-580125,972075,
resumen_por_zona_normalizada_completa,,,,Heredia | Sin canton | Heredia,,,377,17099281.99,164250,268555.87,144750,678.13,27375.86,29,7.71,-840750,1409250,
resumen_por_zona_normalizada_completa,,,,San Jose | San Jose | Barrio Escalante,,,369,6579975.46,1800,84576.98,1500,169.58,3965023.5,24,6.5,-276844.6,464607.67,
resumen_por_zona_normalizada_completa,,,,San Jose | San Jose | San José Capital,,,343,25768857.03,145000,169971.23,26862,544.14,33838.89,47,13.86,-586900,984140,
resumen_por_zona_normalizada_completa,,,,Heredia | Sin canton | Santo Domingo,,,340,25780241.92,362151.84,410063.16,340000,884.37,24949.56,26,7.65,-506634.4,1417980.64,
resumen_por_zona_normalizada_completa,,,,Puntarenas | Garabito | Jacó,,,317,1868411.43,276500,277961.72,250000,408.03,10857.1,36,11.36,-212500,831500,
resumen_por_zona_normalizada_completa,,,,San Jose | San Jose | Uruca,,,316,322824.63,7500,94679.74,3915,581.19,8552.19,32,10.22,-322500,540700,
resumen_por_zona_normalizada_completa,,,,San Jose | Santa Ana | Piedades,,,316,831458168.67,269500,312415.76,249000,3068.57,27038.29,17,5.4,-464905.15,1145063.09,
resumen_por_zona_normalizada_completa,,,,Alajuela | Sin canton | Orotina,,,308,5895479145.37,202500,262454.57,161870.89,20649.66,61292.52,36,11.84,-545453.84,1119272.31,
resumen_por_zona_normalizada_completa,,,,Heredia | Sin canton | San Pablo,,,306,3239745.14,186563.07,181814.85,179989.24,542.75,57091.71,24,7.92,-456650.04,766936.36,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | Curridabat,,,289,15583067.53,280000,251445.21,239997.5,735.35,21522.05,35,12.2,-414360.43,968616.26,
resumen_por_zona_normalizada_completa,,,,San Jose | Escazu | San Antonio,,,287,13414311.12,250000,256607.35,229681.41,583.62,8975.32,29,10.18,-627500,1056500,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | Desamparados,,,282,386641.88,171199.05,172326.98,164504.73,573.24,7792.6,36,12.81,-263383.15,667237.33,
resumen_por_zona_normalizada_completa,,,,San Jose | Mora | Colón,,,269,4639478.33,225855,296278.03,215000,1057.25,21669.93,23,8.58,-578365.44,1260980.06,
resumen_por_zona_normalizada_completa,,,,Alajuela | Alajuela | Alajuela Centro,,,257,707518.71,186563.07,251269.83,169502.1,691.05,8802.41,17,6.61,-703053.68,1194422.8,
resumen_por_zona_normalizada_completa,,,,San Jose | Montes de Oca | Sabanilla,,,255,288289.7,241434.56,230153.55,240000,328.74,2348.54,15,5.91,-178378.67,686798.08,
resumen_por_zona_normalizada_completa,,,,Alajuela | Sin canton | San Ramón,,,253,25513941.31,197537.37,218383.22,181635.39,2452.15,26497.9,27,10.71,-327275,789125,
resumen_por_zona_normalizada_completa,,,,Heredia | Heredia | San Francisco,,,242,879267.06,164614.47,151113.77,163736.53,300.13,7597.58,12,4.96,-366420.98,616982.3,
resumen_por_zona_normalizada_completa,,,,Alajuela | Sin canton | Grecia,,,240,651578.05,188031.54,169672.17,150280,1245.11,3508.66,37,15.42,-372731.61,783638.97,
resumen_por_zona_normalizada_completa,,,,San Jose | Santa Ana | Brasil,,,238,961143.14,190000,169653.54,185000,653.15,1770.98,20,8.4,-413437.5,696062.5,
resumen_por_zona_normalizada_completa,,,,Guanacaste | Santa Cruz | Tamarindo,,,228,902824.96,220000,255732.49,180000,891.01,6170.78,19,8.33,-738500,1241500,
resumen_por_zona_normalizada_completa,,,,Alajuela | Sin canton | Atenas,,,216,55626039.82,279000,321001.6,240000,2497.53,7611.47,20,9.3,-565103.6,1219062.16,
resumen_por_zona_normalizada_completa,,,,Alajuela | Sin canton | Alajuela,,,215,372656997.18,164614.47,229647.94,143653.57,1063.82,90929.97,31,14.55,-771875,1343125,
resumen_por_zona_normalizada_completa,,,,San Jose | San Jose | Pavas,,,213,478796.43,118522.42,120241.3,10450,648.36,5883.77,28,13.15,-436625,733975,
resumen_por_zona_normalizada_completa,,,,Cartago | La Union | Concepción,,,198,3135865.12,237374.07,219568.3,219485.96,242.86,9052.05,23,11.68,-62976.68,549786.01,
resumen_por_zona_normalizada_completa,,,,San Jose | Goicoechea | Guadalupe,,,197,2042235.93,251204.43,232018.6,210000,1233.59,16767.06,29,14.8,-243876.48,785125.89,
resumen_por_zona_normalizada_completa,,,,Heredia | Belen | La Asunción,,,190,4611146.3,319000,342140.93,266000,1542.12,15678.08,12,6.35,-968000,1620800,
resumen_por_zona_normalizada_completa,,,,San Jose | San Jose | Catedral,,,179,376080.13,142000,187266.14,9876.87,556.15,747.84,17,9.5,-669268.6,1121561.16,
resumen_por_zona_normalizada_completa,,,,San Jose | San Jose | Carmen,,,168,471969.37,142665.88,175749.66,68000,2290.74,1193.53,21,12.5,-589050,987430,
resumen_por_zona_normalizada_completa,,,,Alajuela | Alajuela | Coyol,,,165,1310947.94,104384.34,140017.33,52656,1919.45,8121.12,29,17.68,-519604.9,886816.16,
resumen_por_zona_normalizada_completa,,,,Heredia | Sin canton | San Isidro,,,163,601922.22,450000,521443.62,445000,1007.28,8288.69,7,4.29,-573913.6,1600348.16,
resumen_por_zona_normalizada_completa,,,,Guanacaste | Sin canton | Liberia,,,162,503281513.91,289721.47,388961.97,208511.67,3100.15,68089.34,27,17.09,-1161155.09,2176693.06,
resumen_por_zona_normalizada_completa,,,,Cartago | Sin canton | Cartago,,,150,2170213.04,173393.91,213058.3,152542.74,2636.5,16256.89,20,13.33,-674085.62,1163651.38,
resumen_por_zona_normalizada_completa,,,,Cartago | Sin canton | La Unión,,,150,5108505.79,297153.03,272579.54,268870.31,475.55,23244.13,17,11.33,-227991.05,818957.01,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | San José provincia,,,130,3799660.23,164307.23,205170.74,155000,349.6,59832.12,8,6.15,-569906.25,955943.75,
resumen_por_zona_normalizada_completa,,,,San Jose | Moravia | San Vicente,,,125,22359649.19,277000,330491.39,272500,362.6,7809.44,3,2.4,-313750,1028250,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | Merced,,,125,568266,194816,191394.49,175000,3454.51,1703.6,15,12,-553250,931950,
resumen_por_zona_normalizada_completa,,,,Heredia | Flores | San Joaquín,,,121,689664.29,340751.95,592031.48,340203.24,11964.38,10301.42,3,2.5,-1728125,3196875,
resumen_por_zona_normalizada_completa,,,,San Jose | Montes de Oca | San Rafael,,,118,919655088.74,290000,336885.06,285000,1951.15,45880.6,9,7.63,-336646.34,1105987.81,
resumen_por_zona_normalizada_completa,,,,Puntarenas | Garabito | Herradura,,,112,632166.61,262500,236965.68,240000,1893.61,2476.45,15,13.39,-242500,797500,
resumen_por_zona_normalizada_completa,,,,Alajuela | Alajuela | Garita,,,109,852892.07,460000,535758.96,441164,2128.62,12773.3,9,8.26,-862500,2037500,
resumen_por_zona_normalizada_completa,,,,Heredia | Sin canton | Santa Bárbara,,,109,572901.28,245824.28,305377.49,193525.11,2097.07,2620.72,13,11.93,-535835.3,1273501.18,
resumen_por_zona_normalizada_completa,,,,Guanacaste | Sin canton | Santa Cruz,,,105,1013403.69,285000,343174.49,272500,12625.36,9143.85,9,8.65,-607500,1340500,
resumen_por_zona_normalizada_completa,,,,Sin provincia | Sin canton | Grecia,,,105,534738.68,147055.6,160984.56,127750,471.71,17045.09,10,9.52,-326485.37,687539.78,
resumen_por_zona_normalizada_completa,,,,Guanacaste | Carrillo | Playas del Coco,,,103,1730205.16,171199.05,210405.65,164807.23,1889.4,21193.31,9,8.74,-591906.25,990343.75,
resumen_por_zona_normalizada_completa,,,,Heredia | Belen | La Ribera,,,102,19669888243.85,270000,247845.23,242500,22730.49,27819.13,8,8,-624901.25,1047368.74,
resumen_por_zona_normalizada_completa,,,,Heredia | Belen | San Antonio,,,102,448264.34,174946.96,204795.3,105000,693.23,10115.46,9,8.82,-635961.25,1065168.75,
resumen_por_zona_normalizada_completa,,,,Puntarenas | Sin canton | Puntarenas,,,101,447753.05,295000,249378.93,229999.5,5733.91,6106.21,13,12.87,-400000,960000,
resumen_por_zona_normalizada_completa,,,,Alajuela | Alajuela | Turrúcares,,,100,21980887.89,325000,489632.72,252408.86,14007.38,33847.7,7,7,-925956.42,1982232.63,
resumen_por_zona_normalizada_completa,,,,San Jose | San Jose | Zapote,,,100,423293.63,185000,240622.99,166260.61,523.85,6389.43,10,10.1,-640853.95,1095689.91,
resumen_por_zona_normalizada_completa,,,,Heredia | Sin canton | Belén,,,99,1774477.02,325000,490070.28,302500,1307.86,53591.93,7,7.07,-1182000.89,2141200.53,
resumen_por_zona_normalizada_completa,,,,Puntarenas | Garabito | Tárcoles,,,98,795772.41,299000,306706.39,265000,1855.58,6128.8,16,16.49,-650000,1430000,
resumen_por_zona_normalizada_completa,,,,San Jose | San Jose | San Sebastián,,,96,185245.4,131691.58,108274.31,125000,364.22,1327.61,11,11.46,-16980.35,277961.08,
resumen_por_zona_normalizada_completa,,,,Heredia | Sin canton | Barva,,,93,1050510.21,285331.75,383304.99,272500,568.42,9270.74,3,3.23,-530000,1310000,
resumen_por_zona_normalizada_completa,,,,Alajuela | Sin canton | San Mateo,,,92,319466.88,252408.86,281359.02,230000,2798.78,4262.05,3,3.26,-338960.1,883376.06,
resumen_por_zona_normalizada_completa,,,,San Jose | Tibas | San Juan,,,87,476356.55,179978.49,173933.84,175239.52,642.68,7354.15,13,14.94,-522547.03,892971.16,
resumen_por_zona_normalizada_completa,,,,Alajuela | Alajuela | Río Segundo,,,82,363588.15,160224.75,132949.84,124887.51,2849.76,4473.28,11,13.41,-425251.41,717283.55,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | Vázquez de Coronado,,,79,709831.39,380000,437134.58,350000,4535.69,19944.33,8,10.13,-552818.75,1498031.25,
resumen_por_zona_normalizada_completa,,,,Alajuela | Sin canton | Poás,,,75,597496.94,219485.96,235508.64,197317.88,1548.49,11207.13,8,10.67,-231410.63,766126.73,
resumen_por_zona_normalizada_completa,,,,Cartago | Cartago | Oriental,,,74,458311.3,217242.98,253607.77,196439.94,13906.94,26170.95,7,9.46,-491065.54,1136697.22,
resumen_por_zona_normalizada_completa,,,,Heredia | Heredia | Mercedes,,,74,288389.9,254143.4,219076.72,241434.56,268.15,1132.89,7,9.46,-69875.31,568599.92,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | San Francisco de Dos Ríos,,,74,651349.52,292000,379968.32,233645.55,643.12,22245.28,8,10.81,-534264.03,1387941.58,
resumen_por_zona_normalizada_completa,,,,San Jose | Tibas | Tibás,,,74,559149.14,175588.77,154671,158029.89,524.69,52090.09,15,21.13,-486136.64,827227.74,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | Montes de Oca,,,68,291629.34,12768,108803.37,5500,241.22,48785.06,7,10.29,-360307.63,603906.05,
resumen_por_zona_normalizada_completa,,,,Guanacaste | Santa Cruz | Playa Potrero,,,67,660913.3,5000,165691.48,3500,8816.32,9978.52,6,8.96,-538250,900950,
resumen_por_zona_normalizada_completa,,,,Cartago | Sin canton | Turrialba,,,65,528412.36,197537.37,202403.28,175588.77,10690.55,2166.12,9,13.85,-276616.85,741970.11,
resumen_por_zona_normalizada_completa,,,,Heredia | Sin canton | Heredia provincia,,,65,247224.58,150000,204187.06,147500,1267.68,1127.1,3,4.62,-566150.66,954251.1,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | Goicoechea,,,65,341872.09,164614.47,146619.51,105353.26,748.26,7212.36,10,15.38,-464700.93,805586.88,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | Hospital,,,65,15156509.49,60000,192001.12,37893,565.2,65273.22,5,7.69,-731250,1222750,
resumen_por_zona_normalizada_completa,,,,Alajuela | San Carlos | La Fortuna,,,64,2611019.36,307500,698446.54,300000,2651.59,35675.04,3,4.69,-1805606.77,3312677.94,
resumen_por_zona_normalizada_completa,,,,Alajuela | Sin canton | Alajuela provincia,,,63,229716.17,164614.47,146653.77,145848.42,3181.09,5384.67,9,14.29,-109742.99,452141.09,
resumen_por_zona_normalizada_completa,,,,Puntarenas | Sin canton | Garabito,,,58,674348.07,324919.61,327886.04,290000,2751.73,8767.38,7,12.07,-343039.14,1083423.49,
resumen_por_zona_normalizada_completa,,,,Alajuela | Alajuela | Desamparados,,,57,279824.97,172845.2,183142.76,157820,1244.93,13311.91,7,12.28,-252408.86,695770.5,
resumen_por_zona_normalizada_completa,,,,Alajuela | Sin canton | Palmares,,,56,16552511.09,215096.24,229203.97,189378.96,656.93,52514.32,4,7.14,-275796.11,797597.23,
resumen_por_zona_normalizada_completa,,,,San Jose | Alajuelita | Alajuelita,,,56,199757.83,140000,115810.71,139000,543.57,982.31,2,3.57,-238125,422875,
resumen_por_zona_normalizada_completa,,,,Cartago | Cartago | Occidental,,,53,3155496.61,232655.12,224226.99,205219.38,8068.55,11480.85,5,9.43,-575307.49,974845.82,
resumen_por_zona_normalizada_completa,,,,San Jose | Tibas | Cinco Esquinas,,,53,217896.21,83404.67,75031.51,1755.89,185.97,2104.48,6,11.32,-276826.68,464596.92,
resumen_por_zona_normalizada_completa,,,,Guanacaste | Santa Cruz | Veintisiete de Abril,,,52,581936.2,287000,361815.66,235000,4283.39,58852.71,5,9.62,-742500,1553500,
resumen_por_zona_normalizada_completa,,,,Puntarenas | Puntarenas | Cóbano,,,52,1356126.71,525000,487526.56,395000,281.58,32806.82,11,21.15,-745750,2126250,
resumen_por_zona_normalizada_completa,,,,San Jose | Goicoechea | Calle Blancos,,,52,10968358.45,79185.04,137057.37,44009,1078.22,24768.32,6,11.54,-463235.62,807941.38,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | Hatillo,,,51,2223431.39,121814.71,125530.14,120717.28,971.88,27800.15,6,11.76,-68863.73,348598.59,
resumen_por_zona_normalizada_completa,,,,Alajuela | San Carlos | Ciudad Quesada,,,50,948490.47,136081.3,233376.42,96798.84,52558.3,7748.48,6,12,-658178.46,1246907.07,
resumen_por_zona_normalizada_completa,,,,Cartago | Sin canton | Cartago provincia,,,50,45740617.54,190500,183006.09,159127.32,534.62,36235.21,8,16,-326787.16,779027.01,
resumen_por_zona_normalizada_completa,,,,San Jose | Sin canton | Aserrí,,,50,473960.84,170101.62,186505.1,162200.13,569.51,5038.46,9,18.37,-76873.85,526124.31,
